"Timestamp","Which course are you enrolled in?","How did you hear about County College of Morris? [CCM Web site]","How did you hear about County College of Morris? [Social Media]","How did you hear about County College of Morris? [Community Event]","How did you hear about County College of Morris? [Family member or friend]","How did you hear about County College of Morris? [Current CCM student]","How did you hear about County College of Morris? [CCM Alumni]","How did you hear about County College of Morris? [High School Teacher]","How did you hear about County College of Morris? [High School Counselor]","How did you hear about County College of Morris? [In-app advertisement]","How did you hear about County College of Morris? [Employer]","How did you hear about County College of Morris? [Billboard]","How did you hear about County College of Morris? [Television]","How did you hear about County College of Morris? [Radio]","How did you hear about County College of Morris? [Other]","To what extent did the following impact your decision to attend County College of Morris? [Affordable cost]","To what extent did the following impact your decision to attend County College of Morris? [Location/convenience]","To what extent did the following impact your decision to attend County College of Morris? [Choice of programs]","To what extent did the following impact your decision to attend County College of Morris? [Online offerings]","To what extent did the following impact your decision to attend County College of Morris? [Family/friend referral]","To what extent did the following impact your decision to attend County College of Morris? [Faculty/staff]","To what extent did the following impact your decision to attend County College of Morris? [College reputation]","To what extent did the following impact your decision to attend County College of Morris? [Financial Aid]","To what extent did the following impact your decision to attend County College of Morris? [Scholarships]","To what extent did the following impact your decision to attend County College of Morris? [Small class sizes]","To what extent did the following impact your decision to attend County College of Morris? [Extra-curricular opportunities]","To what extent did the following impact your decision to attend County College of Morris? [Accepted my transfer credits]","To what extent did the following impact your decision to attend County College of Morris? [Negative experience at another college]","To what extent did the following impact your decision to attend County College of Morris? [NJ Stars Program]","To what extent did the following impact your decision to attend County College of Morris? [Ability to transfer CCM credits to a 4-year school]","To what extent did the following impact your decision to attend County College of Morris? [Get college credit while in high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [HS Sharetime Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Challenger Program]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [CyberSecurity Information Protection Program Participation ]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Information Session at my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit with my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit (individual)]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Workforce Development class]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Corporate Training]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Teen Arts Festival]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Summer camp at CCM]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing related club]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming)]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Afterschool computing-related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Summer computing related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [An AP computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [A dual enrollment computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend influence]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend working in the computing field]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [High school teacher or guidance counselor]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Employer influence]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Current CCM student]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Experience at work]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Other]","What degree program are you currently enrolled in?","What motivated you to seek a computing degree/certificate at CCM? (check all that apply)","Did you receive information about the CCM computing programs from any of the following sources? [High school guidance counselor]","Did you receive information about the CCM computing programs from any of the following sources? [High School Teacher]","Did you receive information about the CCM computing programs from any of the following sources? [CCM Information Technologies Website]","Did you receive information about the CCM computing programs from any of the following sources? [CCM Admissions]","Did you receive information about the CCM computing programs from any of the following sources? [CCM advisor/counselor]","Did you receive information about the CCM computing programs from any of the following sources? [Employer]","Did you receive information about the CCM computing programs from any of the following sources? [CCM Workforce Development]","Did you receive information about the CCM computing programs from any of the following sources? [NJ Workforce Development Program]","Did you receive information about the CCM computing programs from any of the following sources? [Other]","Was a computing major/certificate your first choice, or did you change majors from a different CCM program? If you changed majors, indicate what your first major was.","On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you in taking more computing classes?","Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?","Gender","Race/ethnicity","Age "
"2020/07/28 3:21:36 PM EST","CMP 239 Internet & Web Page Design","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","Don't recall","Don't recall","No Impact","High Impact","Some Impact","High Impact","High Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","N/A","No Impact","High Impact","N/A","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","Computer Science, Associate of Science","To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Relocation;To keep current in tech industry;Financial;Personal Enrichment","No","No","Yes","No","Yes","No","No","No","No","First Choice","","","Man","Black/African American","21-24"
"2020/07/28 4:07:22 PM EST","CMP 239 Internet & Web Page Design","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","High Impact","High Impact","High Impact","High Impact","No Impact","No Impact","High Impact","High Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Not Sure","Not Sure","Not Sure","Not Sure","No","No","No","No","No","No","No","Yes","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","Information Technology, Applied Associate of Science","To get a job in the computing field;Transfer to bachelor's level program;IT Industry Certifications;Financial","No","No","Yes","No","No","No","No","No","No","Nursing","","","Woman","Multi-Racial","25-34"
"2020/07/28 8:12:47 PM EST","CMP 239 Internet & Web Page Design","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","High Impact","High Impact","High Impact","High Impact","No Impact","High Impact","Some Impact","High Impact","No Impact","No Impact","No Impact","N/A","N/A","N/A","High Impact","N/A","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","High Impact","High Impact","N/A","N/A","N/A","N/A","N/A","Information Technology, Applied Associate of Science","To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment","No","No","Yes","Yes","Yes","No","No","No","No","First Choice","","","Man","Hispanic or Latino","35-64"
"2020/07/29 10:53:03 AM EST","CMP 239 Internet & Web Page Design","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","High Impact","High Impact","Some Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Some Impact","Some Impact","No Impact","No Impact","No Impact","High Impact","No Impact","High Impact","High Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","Non Degree seeking","","","","","","","","","","","","4","I would love to learn more about coding and programming , especially about other programming languages that can code high-level programs. I think coding is an important part of every field in the future, which is a part of our modernized future. It's also interesting to me, and I'd like to learn more about it.","Woman","Asian","18 and younger"
"2020/07/29 4:26:21 PM EST","CMP 239 Internet & Web Page Design","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","High Impact","High Impact","High Impact","High Impact","No Impact","Some Impact","Some Impact","High Impact","No Impact","Some Impact","Some Impact","High Impact","No Impact","No Impact","High Impact","No Impact","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","Computer Science, Associate of Science","To get a job in the computing field;Transfer to bachelor's level program;Career Change;IT Industry Certifications","No","No","Yes","Yes","Yes","No","No","No","No","First Choice","","","Man","White/Caucasian","25-34"
"2020/07/30 1:10:46 PM EST","CMP 239 Internet & Web Page Design","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","High Impact","Some Impact","Some Impact","No Impact","Some Impact","Some Impact","High Impact","Some Impact","Some Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","High Impact","No Impact","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","High Impact","N/A","Some Impact","N/A","N/A","High Impact","N/A","High Impact","High Impact","High Impact","No Impact","Some Impact","No Impact","No Impact","Computer Science, Associate of Science","To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Personal Enrichment","Yes","No","Yes","Yes","Don't recall","No","No","No","Yes","First Choice","","","Man","White/Caucasian","19-20"
"2020/07/30 6:01:39 PM EST","CMP 239 Internet & Web Page Design","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","High Impact","High Impact","High Impact","High Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","Web Development Certificate of Achievement","To get a job in the computing field;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment","No","No","Yes","Yes","No","No","No","No","No","completed a degree in Business Administration","","","Woman","White/Caucasian","35-64"
"2020/07/30 7:58:48 PM EST","CMP 239 Internet & Web Page Design","Yes","Don't recall","Don't recall","Yes","Yes","Don't recall","Don't recall","Don't recall","Don't recall","No","No","No","No","No","N/A","High Impact","High Impact","Some Impact","High Impact","Some Impact","High Impact","High Impact","Some Impact","Some Impact","Some Impact","Some Impact","N/A","Some Impact","High Impact","N/A","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Some Impact","Some Impact","Some Impact","N/A","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","N/A","Information Technology, Applied Associate of Science","Transfer to bachelor's level program;Career Advancement;Career Change;IT Industry Certifications","No","No","Yes","Yes","Yes","No","Don't recall","Don't recall","Don't recall","First Choice","","","Man","White/Caucasian","25-34"
"2020/07/31 1:58:09 PM EST","CMP 239 Internet & Web Page Design","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","High Impact","High Impact","Some Impact","Some Impact","Some Impact","No Impact","Some Impact","Some Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Information Technology, Applied Associate of Science","To get a job in the computing field;Transfer to bachelor's level program","No","No","No","No","No","No","No","No","No","undecided ","","","Man","Asian","21-24"
"2020/08/02 7:04:38 PM EST","CMP 239 Internet & Web Page Design","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Computer Science, Associate of Science","To get a job in the computing field","No","No","No","No","No","No","No","No","No","First Choice","","","Man","Asian","21-24"
